 8352  1  40% R   121 479276K  79096K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  0  46% R   122 494824K  89912K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  1  27% S   122 494820K  89980K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  1  21% S   122 494820K  89980K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  0  21% S   122 494584K  87736K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  1  23% S   122 494584K  87740K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  1  20% S   122 494584K  87748K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  1  29% S   122 494584K  87796K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  0  29% S   122 494596K  87824K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  0  21% S   122 494596K  87832K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  1  21% S   122 494592K  87844K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  0  22% S   122 494612K  87860K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  1  23% S   122 494612K  87876K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  0  29% S   122 494612K  87908K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  1  28% S   122 494644K  87944K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  0  34% S   116 471048K  75632K  bg u0_a101  com.google.android.apps.youtube.mango
 8352  1  34% S   121 486832K  85724K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  0  46% S   122 494884K  90312K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  0  31% S   122 494884K  90336K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  0  21% S   122 494884K  90344K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  0  21% S   122 494680K  86820K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  0  21% S   123 495736K  86836K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  1  25% S   123 495764K  86868K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  0  27% S   123 495788K  86896K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  1  21% S   123 495788K  86912K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  0  21% S   123 495788K  86916K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  1  20% S   123 495804K  86932K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  1  27% S   124 496872K  86964K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  1  27% S   124 496884K  86984K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  1  21% S   119 491604K  86944K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  0  27% R   119 491632K  86996K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  0  25% R   119 491656K  87036K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  0  29% S   113 474388K  75084K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  0  45% S   121 489912K  88108K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  1  24% S   122 495064K  88228K  fg u0_a101  com.google.android.apps.youtube.mango
