 3805  0  19% S   122 487980K  86192K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  0  25% S   117 482700K  85312K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  0  21% S   111 457008K  73324K  bg u0_a101  com.google.android.apps.youtube.mango
 3805  0  34% S   116 480408K  85380K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  1  54% S   118 484120K  87464K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  1  25% S   118 484120K  87492K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  1  20% S   118 484120K  87496K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  0  20% S   118 483896K  83596K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  1  26% R   118 483896K  83640K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  1  22% S   118 483896K  83664K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  1  27% S   119 484952K  83688K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  0  22% S   120 486008K  83700K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  0  26% S   120 486008K  83672K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  0  29% S   121 487072K  83716K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  0  22% S   119 484960K  83688K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  0  23% S   119 484960K  83696K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  0  24% S   115 480752K  83684K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  0  24% S   115 480776K  83640K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  1  33% S   114 460648K  71828K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  1  44% S   119 483308K  84768K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  1  37% S   120 486412K  84936K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  1  19% S   120 486412K  84940K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  0  19% S   120 486240K  81508K  fg u0_a101  com.google.android.apps.youtube.mango
